Question,Option_A,Option_B,Option_C,Option_D
Tangent is drawn to ellipse x^2/27+y^2 = 1 at (3sqrt3cos theta | sin theta ) where theta in (0| pi /2). Then the value of theta  such that sum of intercepts on axes made by this tangent is minimum| is         IIT Screening 2003,pi /3,pi /6,pi /8,pi /4
The locus of the middle point of the intercept of the tangents drawn from an external point to the ellipse x^2+2y^2 = 2 between the co-ordinates axes| is                                                      IIT Screening 2004,1/x^2+1/2y^2 = 1,1/4x^2+1/2y^2 = 1,1/2x^2+1/4y^2 = 1,1/2x^2+1/y^2 = 1
If the normal at any point P on the ellipse cuts the major and minor axes in G and g  respectively and C be the centre of the ellipse| then Kurukshetra CEE 1998,a^2/(CG)^2+b^2/(Cg)^2 = (a^2-b^2)^2,a^2/(CG)^2-b^2/(Cg)^2 = (a^2-b^2)^2,a^2/(CG)^2-b^2/(Cg)^2 = (a^2+b^2)^2,None of these
The locus of the poles of normal chords of an ellipse is given by  UPSEAT 2001,a^6/x^2+b^6/y^2 = (a^2-b^2)^2,a^3/x^2+b^3/y^2 = (a^2-b^2)^2,a^6/x^2+b^6/y^2 = (a^2+b^2)^2,a^3/x^2+b^3/y^2 = (a^2+b^2)^2
If theta  and varphi  are eccentric angles of the ends of a pair of conjugate diameters of the ellipse x^2/a^2+y^2/b^2 = 1| then theta -varphi  is equal to,pm pi /2,pm pi,0,None of thesew
If PQ is a double ordinate of hyperbola x^2/a^2-y^2/b^2 = 1 such that OPQ is an equilateral triangle| O being the centre of the hyperbola. Then the eccentricity e of the hyperbola satisfies         EAMCET 1999,1<e<2/sqrt3,e = 2/sqrt3,e = sqrt3/2,e>2/sqrt3
Equation 1/r = 1/8+3/8cos theta  represents              EAMCET 2002,A rectangular hyperbola,A hyperbola,An ellipse,A parabola
If the two tangents drawn on hyperbola x^2/a^2-y^2/b^2 = 1 in such a way that the product of their gradients is c^2| then they intersects on the curve,y^2+b^2 = c^2(x^2-a^2),y^2+b^2 = c^2(x^2+a^2),ax^2+by^2 = c^2,None of these
C the centre of the hyperbolax^2/a^2-y^2/b^2 = 1. The tangents at any point P on this hyperbola meets the straight lines bx-ay = 0and bx+ay = 0 in the points Q and R respectively. Then CQ . CR =,a^2+b^2,a^2-b^2,1/a^2+1/b^2,1/a^2-1/b^2
If x = 9 is the chord of contact of the hyperbola x^2-y^2 = 9| then the equation of the corresponding pair of tangents is  IIT 1999,9x^2-8y^2+18x-9 = 0,9x^2-8y^2-18x+9 = 0,9x^2-8y^2-18x-9 = 0,9x^2-8y^2+18x+9 = 0
Let P(asec theta | btan theta ) and Q(asec varphi | btan varphi )| where theta +varphi  = pi /2| be two points on the hyperbola x^2/a^2-y^2/b^2 = 1. If (h| k) is the point of intersection of the normals at P and Q| then k is equal to                                                                            IIT 1999;  MP PET 2002,a^2+b^2/a,-left( a^2+b^2/a right),a^2+b^2/b,-left( a^2+b^2/b right)
The combined equation of the asymptotes of the hyperbola 2x^2+5xy+2y^2+4x+5y = 0                Karnataka CET 2002,2x^2+5xy+2y^2 = 0,2x^2+5xy+2y^2-4x+5y+2 = 0,2x^2+5xy+2y^2+4x+5y-2 = 0,2x^2+5xy+2y^2+4x+5y+2 = 0
An ellipse has eccentricity 1/2 and one focus at the pointPleft( 1/2| 1 right). Its one directrix is the common tangent nearer to the point P| to the circle x^2+y^2 = 1 and the hyperbolax^2-y^2 = 1. The equation of the ellipse in the standard form| is       IIT 1996,(x-1/3)^2/1/9+(y-1)^2/1/12 = 1,(x-1/3)^2/1/9+(y+1)^2/1/12 = 1,(x-1/3)^2/1/9-(y-1)^2/1/12 = 1,(x-1/3)^2/1/9-(y+1)^2/1/12 = 1
If a circle cuts a rectangular hyperbola xy = c^2 in A| B| C| D and the parameters of these four points be t_1| t_2| t_3 and t_4 respectively. Then Kurukshetra CEE 1998,t_1/t_2 = t_3/t_4,t_1/t_2/t_3/t_4 = 1,t_1 = t_2,t_3 = t_4
The equation of common tangents to the parabola y^2 = 8x and hyperbola 3x^2-y^2 = 3| is,2xpm y+1 = 0,2xpm y-1 = 0,xpm 2y+1 = 0,xpm 2y-1 = 0
The equation of the locus of foot of perpendiculars drawn from the origin to the line passing through a fixed point     (a| b)| is,x^2+y^2-ax-by = 0,x^2+y^2+ax+by = 0,x^2+y^2-2ax-2by = 0,None of these
The orthocentre of the triangle formed by the lines xy = 0and x+y = 1is                                       IIT 1995,(0|0),left( 1/2|1/2 right),left( 1/3|1/3 right),left( 1/4|1/4 right)
The product of perpendiculars drawn from the origin to the lines represented by the equationax^2+2hxy+by^2+2gx+2fy+c = 0| will be  Bihar CEE 1994,ab/sqrta^2-b^2+4h^2,bc/sqrta^2-b^2+4h^2,ca/sqrt(a^2+b^2)+4h^2,c/sqrt(a-b)^2+4h^2
The equations to a pair of opposite sides of a parallelogram are x^2-5x+6 = 0and y^2-6y+5 = 0. The equations to its diagonals are                 IIT 1994; Pb. CET 2003,x+4y = 13and y = 4x-7,4x+y = 13and 4y = x-7,4x+y = 13and y = 4x-7,y-4x = 13and y+4x = 7
Area of the triangle formed by the lines y^2-9xy+18x^2 = 0 and y = 9 is,27/4sq. units,27sq.units,27/2sq. units,None of these
If the pair of straight lines given by Ax^2+2Hxy+By^2 = 0| (H^2>AB) forms an equilateral triangle with line ax+by+c = 0| then (A+3B)(3A+B) is EAMCET 2003,H^2,-H^2,2H^2,4H^2
The area (in square units) of the quadrilateral formed by the two pairs of linesl^2/x^2-m^2/y^2-n(lx+my) = 0and  l^2/x^2-m^2/y^2+n(lx-my) = 0 is                EAMCET 2003,n^2/2|lm|,n^2/|lm|,n/2|lm|,n^2/4|lm|
The locus of the point P(x|y) satisfying the relation sqrt(x-3)^2+(y-1)^2+sqrt(x+3)^2+(y-1)^2 = 6 is Orissa JEE 2002,Straight line,Pair of straight lines,Circle,Ellipse
The square of distance between the point of intersection of the lines represented by the equation ax^2+2hxy+by^2+2gx+2fy+c = 0 and origin| is,c(a+b)-f^2-g^2/ab-h^2,c(a-b)+f^2+g^2/sqrtab-h^2,c(a+b)-f^2-g^2/ab+h^2,None of these
The equation of the pair of straight lines| each of which makes an angle alpha with the line y = x| is            MP PET 1990,x^2+2xysec 2alpha +y^2 = 0,x^2+2xy|textcosec|2alpha +y^2 = 0,x^2-2xy|textcosec|2alpha +y^2 = 0,x^2-2xysec 2alpha +y^2 = 0
If the bisectors of the lines x^2-2pxy-y^2 = 0 be x^2-2qxy-y^2 = 0| then              MP PET 1993; DCE 1999; RPET 2003; AIEEE 2003; Kerala (Engg.) 2005,pq+1 = 0,pq-1 = 0,p+q = 0,p-q = 0
The angle between the pair of straight lines y^2/sin ^2theta -xysin ^2theta +x^2(cos ^2theta -1) = 1|is MNR 1985; UPSEAT 2000; Kerala (Engg.) 2005,pi /3,pi /4,2pi /3,None of these
The pair of lines represented by 3ax^2+5xy+(a^2-2)y^2 = 0 are perpendicular to each other for   AIEEE 2002,Two values of a,forall a,For one value of a,For no value of a
The figure formed by the lines x^2+4xy+y^2 = 0 and x-y = 4| is                                     Roorkee 1980,A right angled triangle,An isosceles triangle,An equilateral triangle,None of these
The equation x^2-3xy+lambda y^2+3x-5y+2 = 0 when lambda is a real number| represents a pair of straight lines. If theta  is the angle between the lines| then textcose/textc^2theta  =  EAMCET 1992,3,9,10,100
If one of the lines of the pair ax^2+2hxy+by^2 = 0 bisects the angle between positive directions of the axes| then a| b| h satisfy the relation                           Roorkee 1992,a+b = 2|h|,a+b = -2h,a-b = 2|h|,(a-b)^2 = 4h^2
The lines joining the origin to the points of intersection of the line y = mx+cand the circle x^2+y^2 = a^2will be mutually perpendicular| if                                             Roorkee 1977,a^2(m^2+1) = c^2,a^2(m^2-1) = c^2,a^2(m^2+1) = c^2,a^2(m^2-1) = 2c^2
The angle between the lines joining the points of intersection of line y = 3x+2 and the curve x^2+2xy+3y^2+4x+8y-11 = 0 to the origin| is,tan ^-1left( 3/2sqrt2 right),tan ^-1left( 2/2sqrt2 right),tan ^-1left( sqrt3 right),tan ^-1left( 2/2sqrt2 right)
If the lines ax^2+2hxy+by^2 = 0 represents the adjacent sides of a parallelogram| then the equation of second diagonal if one is lx+my = 1| will be,(am+hl)x = (bl+hm)y,(am-hl)x = (bl-hm)y,(am-hl)x = (bl+hm)y,None of these
If the pair of lines ax^2+2(a+b)xy+by^2 = 0 lie along diameters of a circle and divide the circle into four sectors such that the area of one of the sectors is thrice the area of another sector then                                              AIEEE 2005,3a^2+10ab+3b^2 = 0,3a^2+2ab+3b^2 = 0,3a^2-10ab+3b^2 = 0,3a^2-2ab+3b^2 = 0
The equation of the pair of straight lines parallel to x-axis and touching the circle x^2+y^2-6x-4y-12 = 0 Kerala (Engg.) 2002,y^2-4y-21 = 0,y^2+4y-21 = 0,y^2-4y+21 = 0,y^2+4y+21 = 0
Two of the lines represented by the equation ay^4+bxy^3+cx^2/y^2+dx^3y+ex^4 = 0 will be perpendicular| then Kurukshetra CEE 1998,(b+d)(ad+be)+(e-a)^2(a+c+e) = 0,(b+d)(ad+be)+(e+a)^2(a+c+e) = 0,(b-d)(ad-be)+(e-a)^2(a+c+e) = 0,(b-d)(ad-be)+(e+a)^2(a+c+e) = 0
The lines represented by the equation ax^2+2hxy+by^2+2gx+2fy+c = 0 will be equidistant from the origin| if,f^2+g^2 = c(b-a),f^4+g^4 = c(bf^2+ag^2),f^4-g^4 = c(bf^2-ag^2),f^2+g^2 = af^2+bg^2
The circumcentre of the triangle formed by the lines xy+2x+2y+4 = 0 and x+y+2 = 0              EAMCET 1994,(0| 0),(-2| - 2),(-1| -1),(-1| -2)
The area bounded by the angle bisectors of the lines x^2-y^2+2y = 1 and the line x+y = 3| is IIT Screening 2004,2,3,4,6
The number of integral values of m| for which the x-co-ordinate of the point of intersection of the lines 3x+4y = 9 and y = mx+1is also an integer is  IIT Screening 2001,2,0,4,1
A ray of light coming from the point (1| 2) is reflected at a point A on the x-axis and then passes through the pointÂ Â Â Â Â Â  (5| 3). The coordinates of the point A are Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  Orissa JEE 2003,left( 13/5| 0 right),left( 5/13| 0 right),(- 7| 0),None of these
If the co-ordinates of the middle point of the portion of a line intercepted between coordinate axes (3|2)| then the equation of the line will be            RPET 1985; MP PET 1984,2x+3y = 12,3x+2y = 12,4x-3y = 6,5x-2y = 10
A line through A(-5|- 4) meets the lines x+3y+2 = 0| 2x+y+4 = 0 and x-y-5 = 0 at B| C and D respectively. If left( 15/AB right)^2+left( 10/AC right)^2 = left( 6/AD right)^2| then the equation of the line is                                                    IIT 1993,2x+3y+22 = 0,5x-4y+7 = 0,3x-2y+3 = 0,None of these
The equation of perpendicular bisectors of the sides AB and AC of a triangle ABC are x-y+5 = 0 and x+2y = 0 respectively. If the point A is (1| - 2)| then the equation of line BC is                                         IIT 1986,23x+14y-40 = 0,14x-23y+40 = 0,tan ^-1(2),14x+23y-40 = 0
The medians AD and BE of a triangle with vertices A (0| b)| B (0| 0) and C (a| 0) are perpendicular to each other| if Karnataka CET 2000,a = sqrt2 b,a = -sqrt2 b,Both (a) and (b),None of these
Let PS be the median of the triangle with vertices P(2| 2)| Q(6| - 1)and R(7| 3). The equation of the line passing through (1|? 1) and parallel to PS is  IIT Screening 2000,2x-9y-7 = 0,2x-9y-11 = 0,2x+9y-11 = 0,2x+9y+7 = 0
The equation of straight line passing through (-a| 0) and making the triangle with axes of area ?T? is      RPET 1987,2Tx+a^2y+2aT = 0,2Tx-a^2y+2aT = 0,2Tx-a^2y-2aT = 0,None of these
The equations of two equal sides of an isosceles triangle are 7x-y+3 = 0 and x+y-3 = 0 and the third side passes through the point (1| ? 10). The equation of the third side is                                                     IIT 1984,y = sqrt3x+9 but not x^2-9y^2 = 0,3x+y+7 = 0 but not 60^o,3x+y+7 = 0 or x-3y-31 = 0,Neither 3x+y+7 nor x-3y-31 = 0
The graph of the function cos x cos (x+2)-cos ^2(x+1) is IIT 1997 Re-Exam,A straight line passing through (0|||-sin ^21)with slope 2,A straight line passing through (0| 0),A parabola with vertex 75^o,A straight line passing through the point left( pi /2|-sin ^21 right) and parallel to the x?axis
If the equation of base of an equilateral triangle is 2x-y = 1 and the vertex is (?1| 2)| then the length of the side of the triangle is Kerala (Engg.) 2005,sqrt20/3,2/sqrt15,sqrt8/15,sqrt15/2
If x_1|x_2|x_3|||textand |y_1|y_2|y_3 are both in G.P. with the same common ratio| then the points (x_1|y_1)| (x_2||y_2) and (x_3||y_3)AIEEE 2003,Lie on a straight line,Lie on an ellipse,Lie on a circle,Are vertices of a triangle
A line 4x+y = 1passes through the point A(2| - 7) meets the line BC whose equation is 3x-4y+1 = 0 at the point B. The equation to the line AC so that AB  =  AC| is                                IIT 1971,52x+89y+519 = 0,beta,89x+52y+519 = 0,89x+52y-519 = 0
In what direction a line be drawn through the point (1| 2) so that its points of intersection with the line x+y = 4 is at a distance sqrt6/3 from the given point                             IIT 1966; MNR 1987,30^o,45^o,60^o,75^o
If straight lines ax+by+p = 0 and xcos alpha +ysin alpha -p = 0 include an angle pi /4 between them and meet the straight line xsin alpha -ycos alpha  = 0 in the same point| then the value of a^2+b^2is equal to,1,2,3,4
The sides AB|BC|CD and DAof a quadrilateral are x+2y = 3||x = 1| x-3y = 4|| |5x+y+12 = 0 respectively.  The angle between diagonals ACand BDis  Roorkee 1993,45^o,60^o,90^o,30^o
Given vertices A(1||1)|B(4||-2)and C(5||5)of a triangle| then the equation of the perpendicular dropped from C to the interior bisector of the angle A is                                              Roorkee 1994,y-5 = 0,x-5 = 0,y+5 = 0,x+5 = 0
If the straight line through the point P(3||4)makes an angle pi /6with the x-axis and meets the line 12x+5y+10 = 0 at Q| then the length PQis,132/12sqrt3+5,132/12sqrt3-5,132/5sqrt3+12,132/5sqrt3-12
The vertices of a triangle are (2| 1)| (5| 2) and    (4| 4). The lengths of the perpendicular from these vertices on the opposite sides are IIT 1962,7/sqrt5|7/sqrt13|7/sqrt6,7/sqrt6|7/sqrt8|7/sqrt10,7/sqrt5|7/sqrt8|7/sqrt15,7/sqrt5|7/sqrt13|7/sqrt10
The equation of the line joining the point (3| 5)to the point of intersection of the lines 4x+y-1 = 0 and 7x-3y-35 = 0 is equidistant from the points (0| 0) and   (8| 34)                                                                 Roorkee 1984,TRUE,FALSE,Nothing can be said,None of these
A variable line passes through a fixed point P. The algebraic sum of the perpendicular drawn from (2|0)| (0| 2) and        (1| 1) on the line is zero| then the coordinates of the P are IIT 1991; AMU 2005,(1| -1),(1| 1),(2| 1),(2| 2)
Given the four lines with equations x+2y = 3| 3x+4y = 7|||2x+3y = 4|| and 4x+5y = 6| then these lines are IIT 1980; Pb. CET 2003,Concurrent,Perpendicular,The sides of a rectangle,None of these
The line 3x+2y = 24meets y-axis at A and x-axis at B. The perpendicular bisector of ABmeets the line through (0|-1) parallel to x-axis at C. The area of the triangle ABC is,182sq.units,91sq.units,48sq.units,None of these
A pair of straight lines drawn through the origin form with the line 2x+3y = 6an isosceles right angled triangle| then the lines and the area of the triangle thus formed is                                                    Roorkee 1993,x-5y = 05x+y = 0Delta = 36/13,3x-y = 0x+3y = 0Delta = 12/17,5x-y = 0x+5y = 0Delta = 13/5,None of these
The area enclosed within the curve |x|+|y| = 1is   RPET 1990| 1997; IIT 1981; UPSEAT 2003,sqrt2,1,sqrt3,2
The area of triangle formed by the lines x = 0|y = 0 and x/a+y/b = 1| is                                                 RPET 1984,ab,ab/2,2ab,ab/3
A line L passes through the points (1| 1) and    (2| 0) and another line L' passes through left( 1/2|0 right) and perpendicular to L. Then the area of the triangle formed by the lines L|L' and y- axis| is                                      RPET 1991,15/8,25/4,25/8,25/16
The image of the point (4| - 3) with respect to the line y  =  x is                                                            RPET 2002,(- 4| - 3),(3| 4),(- 4| 3),(- 3| 4)
The locus of a point P which divides the line joining (1| 0) and (2cos theta |2sin theta )internally in the ratio 2 : 3 for all theta | is a  IIT 1986,Straight line,Circle,Pair of straight lines,Parabola
Point of intersection of the diagonals of square is at origin and coordinate axis are drawn along the diagonals. If the side is of length a| then one which is not the vertex of square is,(asqrt2|0),left( 0|a/sqrt2 right),left( a/sqrt2|0 right),left( -a/sqrt2|0 right)
ABC is an isosceles triangle. If the coordinates of the base are B (1|3) and C (- 2| 7)| the coordinates of vertex A can be Orrissa JEE 2002; Pb. CET 2002,(1| 6),left( -1/2||5 right),left( 5/6||6 right),None of these
If A(at^2||2at)| B(a/t^2||-2a/t) and C(a||0)| then 2a is equal to      RPET 2000,A.M. of CA and CB,G.M. of CA and CB,H.M. of CA and CB,None of these
If coordinates of the points A and B are (2| 4) and (4| 2) respectively and point M is such that A-M-B also AB  =  3 AM| then the coordinates of M are,left( 8/3||10/3 right),left( 10/3|14/4 right),left( 10/3|6/3 right),left( 13/4|10/4 right)
The point of trisection of the line joining the points (0| 3) and (6| -3) are,(2||0)and(4||-1),(2||-1)and (4|1),(3|1)and(4|-1),(2|1)and(4|-1)
The following points A (2a| 4a)| B(2a| 6a) and C (2a+sqrt3a||5a)| (a>0) are the vertices of,An acute angled triangle,A right angled triangle,An isosceles triangle,None of these
If the coordinates of the vertices of a triangle be (1|a)| (2|b) and (c^2|3)| then the centroid of the triangle,Lies at the origin,Cannot lie on x-axis,Cannot lie on y-axis,None of these
If the vertices of a triangle be (0|0)| (6|0) and (6|8)| then its incentre will be,(2| 1),(1|2),(4| 2),(2|4)
If the middle points of the sides of a triangle be (-2| 3)|          (4| -3) and (4| 5)| then the centroid of the triangle is,(5/3| 2),(5/6| 1),(2| 5/3),(1| 5/6)
If the vertices P| Q| R of a triangle PQR are rational points| which of the following points of the triangle PQR is (are) always rational point(s) IIT 1998,Centroid,Incentre,Circumcentre,Orthocentre (A rational point is a point both of whose coordinates are rational numbers)
The centroid of a triangle is (2| 7) and two of its vertices are (4| 8) and (-2| 6). The third vertex is Kerala (Engg.)  2002,(0| 0),(4| 7),(7| 4),(7| 7)
The points (1|text 1)| (0|sec ^2theta )||(textcose/textc^2theta |text 0) are collinear for  Roorkee 1963,theta = npi /2,theta ne npi /2,theta = npi,None of these
The ends of a rod of length l move on two mutually perpendicular lines. The locus of the point on the rod which divides it in the ratio 1 : 2 is IIT 1987; RPET 1997,36x^2+9y^2 = 4l^2,36x^2+9y^2 = l^2,9x^2+36y^2 = 4l^2,None of these
Two fixed points are A(a|0)andB(-a|0). Ifangle A-angle B = theta | then the locus of point C of triangle ABC will be      Roorkee 1982,x^2+y^2+2xytan theta = a^2,x^2-y^2+2xytan theta = a^2,x^2+y^2+2xycot theta = a^2,x^2-y^2+2xycot theta = a^2
Let A(2|-3)and B(-2|1)be vertices of a triangle ABC. If the centroid of this triangle moves on the line 2x+3y = 1| then the locus of the vertex C is the line AIEEE 2004,3x-2y = 3,2x-3y = 7,3x+2y = 5,2x+3y = 9
The general solution of sin x-3sin 2x+sin 3x =  cos x-3cos 2x+cos 3x is IIT 1989,npi +pi /8,npi /2+pi /8,(-1)^nnpi /2+pi /8,2npi +cos ^-13/2
If 5cos ^2theta +7sin ^2theta -6 = 0| then the general value of theta is,2npi pm pi /4,npi pm pi /4,npi +(-1)^npi /4,None of these
If cos theta +cos 7theta +cos 3theta +cos 5theta  = 0| then theta  Dhanbad Engg. 1972,npi /4,npi /2,npi /8,None of these
If tan theta  = -1/sqrt3and sin theta  = 1/2| cos theta  = -sqrt3/2| then the principal value of theta  will be MP PET 1983| 84,pi /6,5pi /6,7pi /6,-pi /6
The general solution of acos x+bsin x = c| where  a|||b|||c are constants,x = npi +cos ^-1left( c/sqrta^2+b^2 right),x = 2npi -tan ^-1left( b/a right),x = 2npi -tan ^-1left( b/a right)pm cos ^-1left( c/sqrta^2+b^2 right),x = 2npi +tan ^-1left( b/a right)pm cos ^-1left( c/sqrta^2+b^2 right)
If sec 4theta -sec 2theta  = 2| then the general value of theta  is   IIT 1963,(2n+1)pi /4,(2n+1)pi /10,npi +pi /2or npi /5+pi /10,None of these
If sin 2x+sin 4x = 2sin 3x|then x =  EAMCET 1989,npi /3,npi +pi /3,2npi pm pi /3,None of these
If tan (cot x) = cot (tan x)|then sin 2x =  MP PET 1999; Pb. CET 2001,(2n+1)pi /4,4/(2n+1)pi,4pi (2n+1),None of these
The solution set of (5+4cos theta )(2cos theta +1) = 0in the interval 0|||2pi  is  EAMCET 2003,left pi /3||2pi /3 right,left pi /3||pi right,left 2pi /3|4pi /3 right,left 2pi /3|5pi /3 right
If 1+sin x+sin ^2x+.....to infty  = 4+2sqrt3||0<x<pi | then   DCE 2001,x = pi /6,x = pi /3,x = pi /3or pi /6,x = pi /3or 2pi /3
If the solution for theta of cos ptheta +cos qtheta  = 0| p>0| q>0are in A.P.| then the numerically smallest common difference of A.P. is Kerala (Engg.) 2001,pi /p+q,2pi /p+q,pi /2(p+q),1/p+q
The number of solution of the given equation asin x+bcos x = c |  where |c||>|sqrta^2+b^2|is DCE 1998,1,2,Infinite,None of these
The number of pairs (x| y) satisfying the equations sin x+sin y = sin (x+y) and |x|+|y| = 1is,2,4,6,infty
If a| b| care the sides of a triangle ABC| then which of the following inequalities is not true Kurukshetra CEE 1996,8abcle (a+b)(b+c)(c+a),3abcle a^3+b^3+c^3,6abcle bc(b+c)+ca(c+a)+ab(a+b),abcle (a+b-c)(b+c-a)(c+a-b)
In Delta ABC| a(bcos C-ccos B) =  EAMCET 1981,a^2-b^2,b^2-c^2,c^2-a^2,a^2+b^2+c^2
AB is a vertical tower. The point A is on the ground and C is the middle point of AB. The part CB subtend an angle alpha at a point P on the ground. If AP = n|AB|then the correct relation is  MNR 1989; IIT 1980,n = (n^2+1)tan alpha,n = (2n^2-1)tan alpha,n^2 = (2n^2+1)tan alpha,n = (2n^2+1)tan alpha
In Delta ABC| 1/a/cos ^2A/2+1/b/cos ^2B/2+1/c/cos ^2C/2 =,s,s/abc,s^2/abc,s^3/abc
Delta ABC| if cos A/2 = sqrtb+c/2c| then MP PET 1990,a^2+b^2 = c^2,b^2+c^2 = a^2,c^2+a^2 = b^2,b-c = c-a
In a triangle ABC| tan A/2 = 5/6 and tan C/2 = 2/5| then  EAMCET 1994,a| b| care in A.P.,cos A| cos B| cos Care in A.P.,sin A| sin B| sin Care in A.P.,(a) and (c) both
In a Delta ABC| if (sin A+sin B+sin C) (sin A+sin B-sin C)  =  3sin Asin B|  then the angle C is equal to AMU 1999,pi /2,pi /3,pi /4,pi /6
If the two angle on the base of a triangle are left( 221/2 right)^o and left( 1121/2 right)^o| then the ratio of the height of the triangle to the length of the base is               MP PET 1993; Pb CET 2002,1 : 2,2 : 1,2 : 3,1: 1
If a|b are different values of x satisfying acos x+bsin x = c| then tan text left( alpha +beta /2 right) =  EAMCET 1986; Orissa JEE 2003,a+b,a-b,b/a,a/b
In triangle ABCif cos A/a = cos B/b = cos C/c| then the triangle is                                   Karnataka 1991; Pb. CET 1989,Right angled,Obtuse angled,Equilateral,Isosceles
If the perpendicular AD divides the base of the triangle ABC such that BD| CD and AD are in the ratio 2| 3 and 6| then angle A is equal to MP PET 1993,pi /2,pi /3,pi /4,pi /6
In a triangle| the length of the two larger sides are 10 cm and 9 cm respectively. If the angles of the triangle are in A.P.| then the length of the third side in cm can be MP PET 1990| 2001; IIT 1987; DCE 2001,5-sqrt6only,5+sqrt6only,5-sqrt6or 5+sqrt6,Neither5-sqrt6nor 5+sqrt6
In triangle ABC| if angle A = 45^circ | angle B = 75^circ | then a+csqrt2  =    IIT 1988,0,1,b,2b
In Delta ABC|ifsin A:sin C = sin (A-B):sin (B-C)| then,a| b| care in A.P.,a^2| b^2| c^2are in A.P.,a^2| b^2| c^2are in G. P.,None of these
If in a triangle ABC| sin A/4 = sin B/5 = sin C/6| then the value of cos A+cos B+cos Cis equal to,69/48,96/48,48/69,None of these
In a Delta ABC|if a = 2x|b = 2yand angle C = 120^circ | then the area of the triangle is MP PET 1986| 2002,xy,xysqrt3,3xy,2xy
If the sides of a Delta be(x^2+x+1)||(2x+1) and (x^2-1)|then the greatest angle is   EAMCET 1987; Kerala (Engg.) 2001,105^o,120^o,135^o,None
In a Delta ABC|if 3a = b+c|then the value of cot B/2cot C/2 is Pb. CET 2003; Roorkee 1986; MP PET 1990| 97| 98| 2003; EAMCET 2003; Orissa JEE 2005,1,2,sqrt3,sqrt2
In Delta ABC|if 8R^2 = a^2+b^2+c^2|then the triangle is,Right angled,Equilateral,Acute angled,Obtuse angled
In a Delta ABC|let angle C = pi /2.If rand Rare in radius and the circum-radius respectively of the triangle| then 2(r+R) is equal to                           IIT Screening 2000; AIEEE 2005,a+b,b+c,c+a,a+b+c
A tower is situated on horizontal plane. From two points| the line joining three points passes through the base and which are aand bdistance from the base. The angle of elevation of the top are alpha and 90^circ -alpha and theta is that angle which two points joining the line makes at the top| the height of tower will be UPSEAT 1999,a+b/a-b,a-b/a+b,sqrtab,(ab)^1/3
ABC is triangular park with AB  =  AC  =  100 m. A clock tower is situated at the mid-point of BC. The angles of elevation of the top of the tower atAandBare cot ^-13.2 and textcose/textc^-12.6respectively. The height of the tower isEAMCET 1992,50 m,25 m,40 m,None of these
From the bottom of a pole of height h| the angle of elevation of the top of a tower is alpha and the pole subtends angle beta at the top of the tower. The height of the tower is  Roorkee 1988,htan (alpha -beta )/tan (alpha -beta )-tan alpha,hcot (alpha -beta )/cot (alpha -beta )-cot alpha,cot (alpha -beta )/cot (alpha -beta )-cot alpha,None of these
A person observes the angle of elevation of a building as 30?. The person proceeds towards the building with a speed of 25(sqrt3-1)m/hour.After 2|hours| he observes the angle of elevation as 45?. The height of the building (in meter) is  UPSEAT 2003,100,50,50(sqrt3+1),50(sqrt3-1)
A man from the top of a 100 meters high tower sees a car moving towards the tower at an angle of depression of 30 ?. After some time| the angle of depression becomes60^o. The distance (in meters) travelled by the car during the time is IIT Screening 2001,100sqrt3,200sqrt3/3,100sqrt3/3,200sqrt3
The angular depressions of the top and the foot of a chimney as seen from the top of a second chimney| which is 150 m high and standing on the same level as the first are theta  and varphi  respectively| then the distance between their tops when tan theta  = 4/3and tan varphi  = 5/2| is Pb. CET 2004; IIT 1965,150/sqrt3metres,100sqrt3metres,150metres,100metres
The value of nin Z for which the function f(x) = sin nx/sin (x/n) has 4pi  as its period| is,2,3,4,5
If the angles of a quadrilateral are in A.P. whose common difference is10^o| then the angles of the quadrilateral are,65^o||85^o||95^o||105^o,75^o||85^o||95^o||105^o,65^o||75^o||85^o||95^o,65^o||95^o||105^o||115^o
If the sum of first n terms of an A.P. be equal to the sum of its first m terms| (mne n)| then the sum of its first (m+n) terms will be MP PET 1984,0,n,m,m+n
If p| q| r are in A.P. and are positive| the roots of the quadratic equation px^2+qx+r = 0 are all real for IIT 1995,left| |r/p-7 right| ge 4sqrt3,left| p/r-7 right| <4sqrt3,All pand r,No p and r
The sums of n terms of three A.P.'s whose first term is 1 and common differences are 1| 2| 3 are S_1| S_2| S_3 respectively. The true relation is,S_1+S_3 = S_2,S_1+S_3 = 2S_2,S_1+S_2 = 2S_3,S_1+S_2 = S_3
The value of x satisfyinglog _ax+log _sqrtax+log _3sqrtax+.........log _asqrtax = a+1/2 will be,x = a,x = a^a,x = a^-1/a,x = a^1/a
Jairam purchased a house in Rs. 15000 and paid Rs. 5000 at once. Rest money he promised to pay in annual installment of Rs. 1000 with 10% per annum interest. How much money is to be paid by Jairam UPSEAT 1999,Rs. 21555,Rs. 20475,Rs. 20500,Rs. 20700
Let S_1| S_2|.......be squares such that for each nge 1| the length of a side of S_n equals the length of a diagonal of S_n+1. If the length of a side of S_1is10cm| then for which of the following values of n is the area of S_n less then 1 sq cm IIT 1999,7,8,9,10
